ELEVATION,INFLOW,OUTFLOW,year,month,d
1141.33,15000.0,11512,2005,6,5
1141.26,13700.0,17253,2005,6,6
1141.15,13500.0,17913,2005,6,7
1141.09,14700.0,18530,2005,6,8
1141.01,14800.0,18192,2005,6,9
1140.97,14800.0,15848,2005,6,10
1141.06,14800.0,9815,2005,6,11
1141.07,15000.0,12392,2005,6,12
1141.0,13700.0,19198,2005,6,13
1140.94,13300.0,14768,2005,6,14
1140.92,14600.0,15640,2005,6,15
1140.85,14700.0,14013,2005,6,16
1140.83,14600.0,14820,2005,6,17
1140.87,14700.0,10290,2005,6,18
1140.87,15200.0,13187,2005,6,19
1140.81,13800.0,17033,2005,6,20
1140.73,13700.0,17841,2005,6,21
1140.72,15200.0,14491,2005,6,22
1140.8,15400.0,10435,2005,6,23
1140.8,14200.0,12172,2005,6,24
1140.89,15400.0,8339,2005,6,25
1140.91,12100.0,11969,2005,6,26
1140.87,9640.0,10136,2005,6,27
1140.8,10600.0,11924,2005,6,28
1140.6,14200.0,21557,2005,6,29
1140.46,14900.0,21215,2005,6,30
1140.4,15200.0,16448,2005,7,1
1140.41,15300.0,12157,2005,7,2
1140.43,15200.0,12454,2005,7,3
1140.42,14200.0,13242,2005,7,4
1140.36,13600.0,14786,2005,7,5
1140.24,13600.0,18197,2005,7,6
1140.14,15000.0,19779,2005,7,7
1140.01,15200.0,19015,2005,7,8
1140.02,15200.0,12851,2005,7,9
1140.07,15200.0,10583,2005,7,10
1140.0,14300.0,18024,2005,7,11
1139.84,13600.0,19615,2005,7,12
1139.69,15100.0,20931,2005,7,13
1139.65,15400.0,16725,2005,7,14
1139.57,15500.0,17615,2005,7,15
1139.56,15500.0,14677,2005,7,16
1139.53,15400.0,14896,2005,7,17
1139.52,14400.0,15848,2005,7,18
1139.35,13700.0,19372,2005,7,19
1139.33,15300.0,15925,2005,7,20
1139.26,15300.0,14943,2005,7,21
1139.27,15300.0,13766,2005,7,22
1139.27,15200.0,11602,2005,7,23
1139.41,15300.0,9094,2005,7,24
1139.33,14300.0,16883,2005,7,25
1139.29,14400.0,16522,2005,7,26
1139.2,15300.0,17627,2005,7,27
1139.13,15200.0,17582,2005,7,28
1139.07,15300.0,20515,2005,7,29
1139.01,15300.0,15759,2005,7,30
1139.01,15100.0,14118,2005,7,31
1138.93,14200.0,14305,2005,8,1
1138.96,12900.0,12890,2005,8,2
1138.97,15600.0,11669,2005,8,3
1139.03,15700.0,14644,2005,8,4
1138.97,15700.0,15679,2005,8,5
1139.01,15700.0,13549,2005,8,6
1138.99,15500.0,11277,2005,8,7
1139.06,14400.0,13749,2005,8,8
1139.01,14000.0,14815,2005,8,9
1138.99,17100.0,16567,2005,8,10
1138.9,16200.0,19482,2005,8,11
1138.87,16500.0,18538,2005,8,12
1138.9,16400.0,11453,2005,8,13
1139.04,16100.0,7143,2005,8,14
1139.12,15300.0,11298,2005,8,15
1139.14,14600.0,12430,2005,8,16
1139.17,15900.0,12288,2005,8,17
1139.18,16300.0,13364,2005,8,18
1139.26,16200.0,12458,2005,8,19
1139.33,16200.0,9809,2005,8,20
1139.46,16400.0,6687,2005,8,21
1139.5,14500.0,10953,2005,8,22
1139.48,13400.0,13341,2005,8,23
1139.47,15400.0,14848,2005,8,24
1139.41,15500.0,16780,2005,8,25
1139.38,15600.0,15871,2005,8,26
1139.42,16200.0,11904,2005,8,27
1139.48,16200.0,11658,2005,8,28
1139.49,15200.0,12636,2005,8,29
1139.58,13600.0,9448,2005,8,30
1139.61,15900.0,9358,2005,8,31
1139.7,15800.0,8966,2005,9,1
1139.75,13900.0,10373,2005,9,2
1139.81,13200.0,6633,2005,9,3
1139.87,11600.0,7820,2005,9,4
1139.91,9570.0,7062,2005,9,5
1139.89,9170.0,10468,2005,9,6
1139.77,9090.0,11789,2005,9,7
1139.66,9010.0,13860,2005,9,8
1139.59,8960.0,9263,2005,9,9
1139.6,8940.0,4707,2005,9,10
1139.56,8890.0,7040,2005,9,11
1139.69,8840.0,9575,2005,9,12
1139.64,8870.0,10417,2005,9,13
1139.58,8860.0,9438,2005,9,14
1139.49,9010.0,13753,2005,9,15
1139.34,9000.0,13967,2005,9,16
1139.26,8940.0,12759,2005,9,17
1139.22,8970.0,9827,2005,9,18
1139.06,8930.0,14844,2005,9,19
1138.95,8950.0,12566,2005,9,20
1138.85,8930.0,14236,2005,9,21
1138.71,8970.0,14581,2005,9,22
1138.73,8890.0,8148,2005,9,23
1138.71,8800.0,7628,2005,9,24
1138.71,8760.0,7441,2005,9,25
1138.66,8780.0,10686,2005,9,26
1138.56,9230.0,11362,2005,9,27
1138.45,9410.0,12797,2005,9,28
1138.45,9440.0,9088,2005,9,29
1138.36,9040.0,12758,2005,9,30
1138.37,8830.0,7151,2005,10,1
1138.24,8840.0,11973,2005,10,2
1138.18,8740.0,9109,2005,10,3
1138.14,8770.0,9758,2005,10,4
1138.12,8790.0,7538,2005,10,5
1138.05,8810.0,8808,2005,10,6
1138.0,9040.0,9125,2005,10,7
1138.0,9150.0,6948,2005,10,8
1138.02,9130.0,8018,2005,10,9
1137.95,8950.0,9440,2005,10,10
1137.87,8970.0,11869,2005,10,11
1137.77,9030.0,12897,2005,10,12
1137.66,9020.0,13094,2005,10,13
1137.62,9260.0,10986,2005,10,14
1137.58,9300.0,9602,2005,10,15
1137.55,9330.0,10228,2005,10,16
1137.46,9340.0,14495,2005,10,17
1137.45,9510.0,12783,2005,10,18
1137.33,9780.0,16184,2005,10,19
1137.2,9500.0,15683,2005,10,20
1137.15,10200.0,13531,2005,10,21
1137.16,9500.0,10122,2005,10,22
1137.12,9250.0,9569,2005,10,23
1137.06,9230.0,12997,2005,10,24
1137.07,9230.0,10513,2005,10,25
1136.97,9220.0,11013,2005,10,26
1136.95,9190.0,9559,2005,10,27
1136.94,9200.0,8066,2005,10,28
1136.97,9190.0,6680,2005,10,29
1137.03,9280.0,7005,2005,10,30
1137.01,9540.0,7935,2005,10,31
1136.99,9170.0,9553,2005,11,1
1136.96,9120.0,8083,2005,11,2
1136.95,9520.0,7652,2005,11,3
1136.93,9510.0,8384,2005,11,4
1137.02,9520.0,6030,2005,11,5
1137.04,9530.0,7508,2005,11,6
1136.98,9260.0,11603,2005,11,7
1136.91,9130.0,10728,2005,11,8
1136.84,9500.0,10606,2005,11,9
1136.81,9550.0,12441,2005,11,10
1136.8,9590.0,8908,2005,11,11
1136.83,9580.0,8698,2005,11,12
1136.82,9560.0,9567,2005,11,13
1136.84,9480.0,8937,2005,11,14
1136.75,9240.0,9653,2005,11,15
1136.62,9550.0,14289,2005,11,16
1136.48,9580.0,16506,2005,11,17
1136.31,9580.0,15809,2005,11,18
1136.33,9400.0,9420,2005,11,19
1136.25,9480.0,10984,2005,11,20
1136.15,9270.0,14035,2005,11,21
1135.98,8990.0,18124,2005,11,22
1135.85,9470.0,16623,2005,11,23
1135.8,9470.0,11245,2005,11,24
1135.73,9520.0,11276,2005,11,25
1135.66,8950.0,11217,2005,11,26
1135.51,9380.0,16115,2005,11,27
1135.34,9210.0,16246,2005,11,28
1135.28,8940.0,9691,2005,11,29
1135.27,9330.0,10493,2005,11,30
1135.26,9200.0,8007,2005,12,1
1135.23,9250.0,6690,2005,12,2
1135.29,12900.0,7530,2005,12,3
1135.39,13900.0,7454,2005,12,4
1135.42,13500.0,10005,2005,12,5
1135.48,12600.0,10139,2005,12,6
1135.57,13900.0,7831,2005,12,7
1135.68,14100.0,7425,2005,12,8
1135.79,14200.0,6806,2005,12,9
1135.95,14000.0,5587,2005,12,10
1136.05,14100.0,8084,2005,12,11
1136.14,13400.0,8172,2005,12,12
1136.21,12800.0,8644,2005,12,13
1136.25,14000.0,10241,2005,12,14
1136.28,14000.0,9872,2005,12,15
1136.32,14000.0,11479,2005,12,16
1136.37,14000.0,11082,2005,12,17
1136.48,14000.0,7876,2005,12,18
1136.55,13500.0,7559,2005,12,19
1136.65,12700.0,9132,2005,12,20
1136.77,14200.0,7360,2005,12,21
1136.85,14100.0,7744,2005,12,22
1137.02,14100.0,6973,2005,12,23
1137.15,14100.0,6312,2005,12,24
1137.28,14000.0,5235,2005,12,25
1137.41,13200.0,7078,2005,12,26
1137.43,12400.0,11256,2005,12,27
1137.41,12700.0,12733,2005,12,28
1137.43,14000.0,12582,2005,12,29
1137.42,14500.0,12911,2005,12,30
1137.52,14700.0,7182,2005,12,31
1137.69,14700.0,8476,2006,1,1
1137.74,14000.0,12295,2006,1,2
1137.75,12600.0,10384,2006,1,3
1137.81,12500.0,9467,2006,1,4
1137.9,14300.0,8763,2006,1,5
1137.99,14500.0,9366,2006,1,6
1138.1,14400.0,7629,2006,1,7
1138.2,14400.0,9814,2006,1,8
1138.28,12900.0,7441,2006,1,9
1138.29,12500.0,9713,2006,1,10
1138.4,14400.0,8973,2006,1,11
1138.5,14400.0,8543,2006,1,12
1138.61,14400.0,6879,2006,1,13
1138.72,14300.0,6231,2006,1,14
1138.87,14300.0,7798,2006,1,15
1138.9,12700.0,9977,2006,1,16
1138.93,12300.0,9443,2006,1,17
1139.02,14300.0,7591,2006,1,18
1139.11,14200.0,8509,2006,1,19
1139.2,14200.0,8571,2006,1,20
1139.31,14000.0,7298,2006,1,21
1139.45,14300.0,6357,2006,1,22
1139.44,12600.0,12046,2006,1,23
1139.38,12300.0,13710,2006,1,24
1139.36,14300.0,11869,2006,1,25
1139.38,14200.0,11656,2006,1,26
1139.47,14200.0,9233,2006,1,27
1139.56,14300.0,9404,2006,1,28
1139.61,14200.0,10801,2006,1,29
1139.51,12800.0,15428,2006,1,30
1139.46,12300.0,16145,2006,1,31
1139.48,14400.0,12752,2006,2,1
1139.54,14900.0,11499,2006,2,2
1139.57,15600.0,11754,2006,2,3
1139.72,15700.0,7486,2006,2,4
1139.86,15700.0,7676,2006,2,5
1139.91,14800.0,11182,2006,2,6
1139.99,13700.0,8724,2006,2,7
1140.11,15600.0,8547,2006,2,8
1140.18,15600.0,10863,2006,2,9
1140.17,15500.0,15446,2006,2,10
1140.23,15700.0,9450,2006,2,11
1140.33,15700.0,10388,2006,2,12
1140.4,14700.0,11694,2006,2,13
1140.37,13700.0,11800,2006,2,14
1140.45,15700.0,10541,2006,2,15
1140.44,15400.0,14659,2006,2,16
1140.48,15700.0,11525,2006,2,17
1140.57,15700.0,9617,2006,2,18
1140.7,15800.0,9511,2006,2,19
1140.74,14900.0,11758,2006,2,20
1140.76,13700.0,12442,2006,2,21
1140.87,15600.0,8129,2006,2,22
1141.0,15800.0,8808,2006,2,23
1141.14,15800.0,7398,2006,2,24
1141.26,15700.0,8187,2006,2,25
1141.31,15700.0,12510,2006,2,26
1141.3,14900.0,15298,2006,2,27
1141.2,13900.0,18136,2006,2,28
1141.19,15500.0,15813,2006,3,1
1141.17,15100.0,16182,2006,3,2
1141.07,11700.0,15703,2006,3,3
1141.08,10900.0,11381,2006,3,4
1141.07,10800.0,11863,2006,3,5
1140.99,10300.0,12058,2006,3,6
1140.98,10000.0,10716,2006,3,7
1140.88,10800.0,15502,2006,3,8
1140.7,10800.0,15936,2006,3,9
1140.55,10800.0,19982,2006,3,10
1140.53,10800.0,12378,2006,3,11
1140.51,11000.0,11967,2006,3,12
1140.42,10300.0,14612,2006,3,13
1140.27,9890.0,15812,2006,3,14
1140.21,10800.0,14599,2006,3,15
1140.11,10900.0,15033,2006,3,16
1139.92,10800.0,18251,2006,3,17
1139.88,10800.0,13656,2006,3,18
1139.88,10900.0,10394,2006,3,19
1139.85,10300.0,12696,2006,3,20
1139.94,9890.0,8553,2006,3,21
1139.84,10800.0,12512,2006,3,22
1139.82,10900.0,11082,2006,3,23
1139.82,10900.0,11749,2006,3,24
1139.81,10800.0,8791,2006,3,25
1139.85,10900.0,9230,2006,3,26
1139.73,10300.0,16351,2006,3,27
1139.66,9880.0,14329,2006,3,28
1139.53,10900.0,15110,2006,3,29
1139.49,10900.0,15550,2006,3,30
1139.48,10600.0,10711,2006,3,31
1139.4,10600.0,14696,2006,4,1
1139.33,10100.0,15309,2006,4,2
1139.15,10900.0,20126,2006,4,3
1138.91,10300.0,21862,2006,4,4
1138.73,11100.0,18504,2006,4,5
1138.63,11100.0,17470,2006,4,6
1138.58,11100.0,14740,2006,4,7
1138.52,11200.0,13187,2006,4,8
1138.42,11100.0,12348,2006,4,9
1138.33,11000.0,17806,2006,4,10
1138.17,10300.0,18091,2006,4,11
1138.07,11100.0,15137,2006,4,12
1138.03,11100.0,13280,2006,4,13
1137.88,11200.0,14721,2006,4,14
1137.96,11200.0,8007,2006,4,15
1137.99,11200.0,9157,2006,4,16
1137.85,11100.0,20109,2006,4,17
1137.65,10400.0,18941,2006,4,18
1137.42,11200.0,22038,2006,4,19
1137.3,11200.0,17162,2006,4,20
1137.19,11200.0,19000,2006,4,21
1137.09,11200.0,15015,2006,4,22
1137.08,11200.0,11136,2006,4,23
1136.85,11000.0,21803,2006,4,24
1136.69,10300.0,20565,2006,4,25
1136.54,11100.0,18266,2006,4,26
1136.32,11100.0,20595,2006,4,27
1136.15,11100.0,19887,2006,4,28
1136.03,11100.0,16302,2006,4,29
1135.94,11100.0,13929,2006,4,30
1135.86,10800.0,17762,2006,5,1
1135.71,10000.0,16653,2006,5,2
1135.56,10700.0,17536,2006,5,3
1135.38,10700.0,18799,2006,5,4
1135.24,10700.0,17926,2006,5,5
1135.14,10700.0,14865,2006,5,6
1135.06,10700.0,13975,2006,5,7
1134.89,10300.0,19413,2006,5,8
1134.71,10100.0,20153,2006,5,9
1134.51,10500.0,18149,2006,5,10
1134.33,10700.0,18672,2006,5,11
1134.21,10700.0,16664,2006,5,12
1134.18,10700.0,11442,2006,5,13
1134.16,10500.0,11205,2006,5,14
1134.01,10200.0,16453,2006,5,15
1133.84,9760.0,18704,2006,5,16
1133.68,10200.0,18463,2006,5,17
1133.47,10700.0,20290,2006,5,18
1133.22,10500.0,18864,2006,5,19
1133.08,10700.0,16755,2006,5,20
1132.99,10500.0,14238,2006,5,21
1132.94,10100.0,12301,2006,5,22
1132.78,9760.0,17480,2006,5,23
1132.56,10300.0,21063,2006,5,24
1132.27,10400.0,23002,2006,5,25
1132.07,10400.0,18408,2006,5,26
1132.01,10400.0,11379,2006,5,27
1131.88,10300.0,14092,2006,5,28
1131.71,9780.0,18178,2006,5,29
1131.43,9810.0,23213,2006,5,30
1131.14,9810.0,23793,2006,5,31
1130.99,10400.0,15613,2006,6,1
1130.85,10600.0,17067,2006,6,2
1130.75,14300.0,16591,2006,6,3
1130.72,14600.0,13829,2006,6,4
1130.69,13000.0,15925,2006,6,5
1130.71,12600.0,9951,2006,6,6
1130.71,14600.0,11016,2006,6,7
1130.75,14700.0,14366,2006,6,8
1130.69,14800.0,15072,2006,6,9
1130.65,14800.0,15052,2006,6,10
1130.57,14700.0,16637,2006,6,11
1130.47,13100.0,16797,2006,6,12
1130.3,12600.0,17961,2006,6,13
1130.18,14600.0,19477,2006,6,14
1130.08,14800.0,18826,2006,6,15
1129.9,14800.0,22755,2006,6,16
1129.76,14600.0,20010,2006,6,17
1129.68,14700.0,16081,2006,6,18
1129.5,13100.0,21817,2006,6,19
1129.31,12700.0,20277,2006,6,20
1129.18,14500.0,18399,2006,6,21
1129.11,14700.0,17204,2006,6,22
1129.02,14700.0,18619,2006,6,23
1129.02,14700.0,14484,2006,6,24
1129.0,14700.0,13886,2006,6,25
1128.77,13100.0,22114,2006,6,26
1128.62,12700.0,22031,2006,6,27
1128.39,14600.0,23142,2006,6,28
1128.25,14700.0,21111,2006,6,29
1128.26,14700.0,16084,2006,6,30
1128.2,14700.0,13113,2006,7,1
1128.19,14800.0,12508,2006,7,2
1128.21,13900.0,14306,2006,7,3
1128.26,13600.0,8633,2006,7,4
1128.18,14400.0,16693,2006,7,5
1128.23,13600.0,13640,2006,7,6
1128.18,14400.0,14128,2006,7,7
1128.13,14500.0,15898,2006,7,8
1128.1,14600.0,13927,2006,7,9
1128.07,14200.0,14345,2006,7,10
1127.97,13800.0,17130,2006,7,11
1127.91,14500.0,15581,2006,7,12
1127.82,14500.0,17845,2006,7,13
1127.71,14400.0,17829,2006,7,14
1127.64,14400.0,17710,2006,7,15
1127.53,14400.0,15809,2006,7,16
1127.55,13900.0,19259,2006,7,17
1127.32,13600.0,19657,2006,7,18
1127.23,14300.0,16002,2006,7,19
1127.15,14300.0,17885,2006,7,20
1127.03,14500.0,20366,2006,7,21
1126.89,14600.0,20445,2006,7,22
1126.84,14500.0,15859,2006,7,23
1126.72,14100.0,17573,2006,7,24
1126.61,13600.0,17237,2006,7,25
1126.51,14500.0,16767,2006,7,26
1126.52,14800.0,12486,2006,7,27
1126.55,14900.0,14812,2006,7,28
1126.52,14800.0,11811,2006,7,29
1126.5,15200.0,13096,2006,7,30
1126.42,14800.0,15323,2006,7,31
1126.53,15900.0,10090,2006,8,1
1126.56,15500.0,12278,2006,8,2
1126.62,16000.0,11790,2006,8,3
1126.72,15800.0,9590,2006,8,4
1126.79,16600.0,10059,2006,8,5
1126.89,17300.0,10330,2006,8,6
1126.85,14700.0,16043,2006,8,7
1126.7,14100.0,18758,2006,8,8
1126.63,15700.0,18708,2006,8,9
1126.5,15200.0,19750,2006,8,10
1126.41,16600.0,18955,2006,8,11
1126.47,16900.0,11123,2006,8,12
1126.6,16400.0,8632,2006,8,13
1126.65,14900.0,9741,2006,8,14
1126.7,14700.0,10224,2006,8,15
1126.74,17100.0,11120,2006,8,16
1126.76,17600.0,12898,2006,8,17
1126.78,17100.0,14249,2006,8,18
1126.82,15600.0,11236,2006,8,19
1126.91,15200.0,9200,2006,8,20
1126.91,14400.0,12912,2006,8,21
1126.84,13900.0,13831,2006,8,22
1126.8,14100.0,15930,2006,8,23
1126.72,15100.0,15608,2006,8,24
1126.71,15800.0,11886,2006,8,25
1126.77,15800.0,10138,2006,8,26
1126.83,15600.0,12563,2006,8,27
1126.8,14600.0,14264,2006,8,28
1126.69,14000.0,17605,2006,8,29
1126.54,15600.0,19219,2006,8,30
1126.54,15100.0,13805,2006,8,31
1126.57,15400.0,12278,2006,9,1
1126.59,15500.0,11184,2006,9,2
1126.67,11600.0,8748,2006,9,3
1126.59,9980.0,12664,2006,9,4
1126.5,10100.0,14328,2006,9,5
1126.53,9120.0,10604,2006,9,6
1126.41,10100.0,9922,2006,9,7
1126.44,9870.0,7816,2006,9,8
1126.48,9830.0,6873,2006,9,9
1126.49,10200.0,8005,2006,9,10
1126.45,9390.0,10612,2006,9,11
1126.39,9150.0,11938,2006,9,12
1126.28,9680.0,14080,2006,9,13
1126.19,9780.0,10218,2006,9,14
1126.15,10100.0,8729,2006,9,15
1126.08,10300.0,11332,2006,9,16
1126.1,10200.0,8478,2006,9,17
1125.93,10700.0,17031,2006,9,18
1125.79,10200.0,13089,2006,9,19
1125.76,10600.0,9093,2006,9,20
1125.77,10600.0,8228,2006,9,21
1125.76,10600.0,8123,2006,9,22
1125.73,10400.0,8360,2006,9,23
1125.69,10400.0,10070,2006,9,24
1125.54,10100.0,16581,2006,9,25
1125.39,10033.0,15016,2006,9,26
1125.41,10578.0,8123,2006,9,27
1125.39,9884.0,9735,2006,9,28
1125.38,10615.0,9400,2006,9,29
1125.36,10904.0,8543,2006,9,30
1125.34,10577.0,8789,2006,10,1
1125.21,10278.0,17341,2006,10,2
1125.17,10989.0,10921,2006,10,3
1125.22,11790.0,9086,2006,10,4
1125.19,11948.0,10225,2006,10,5
1125.25,12189.0,6327,2006,10,6
1125.3,15544.0,7554,2006,10,7
1125.47,17267.0,5994,2006,10,8
1125.5,13955.0,10643,2006,10,9
1125.49,14046.0,11897,2006,10,10
1125.52,14522.0,9244,2006,10,11
1125.58,13904.0,7457,2006,10,12
1125.75,,6306,2006,10,13
1125.84,,6873,2006,10,14
1125.96,,6769,2006,10,15
1126.0,16028.0,7590,2006,10,16
1126.09,12259.0,8040,2006,10,17
1126.04,11575.0,10896,2006,10,18
1126.05,11220.0,11297,2006,10,19
1126.01,11715.0,12905,2006,10,20
1126.01,11452.0,9076,2006,10,21
1125.98,12535.0,10119,2006,10,22
1125.94,10930.0,13106,2006,10,23
1125.92,10630.0,10726,2006,10,24
1125.95,11000.0,7433,2006,10,25
1125.97,11153.0,7155,2006,10,26
1125.99,11006.0,8664,2006,10,27
1126.06,10903.0,5802,2006,10,28
1126.11,10934.0,7539,2006,10,29
1126.11,10578.0,8925,2006,10,30
1126.13,10500.0,9397,2006,10,31
1126.04,11231.0,13035,2006,11,1
1126.07,11753.0,9186,2006,11,2
1126.06,12310.0,10024,2006,11,3
1126.11,12467.0,6730,2006,11,4
1126.21,11882.0,5622,2006,11,5
1126.23,11605.0,8732,2006,11,6
1126.22,11060.0,9889,2006,11,7
1126.24,11699.0,7035,2006,11,8
1126.31,11701.0,7596,2006,11,9
1126.32,11591.0,9548,2006,11,10
1126.4,11414.0,6089,2006,11,11
1126.43,11690.0,6897,2006,11,12
1126.47,11228.0,8740,2006,11,13
1126.5,11095.0,8211,2006,11,14
1126.48,11518.0,10438,2006,11,15
1126.47,11500.0,11083,2006,11,16
1126.43,11560.0,10807,2006,11,17
1126.46,11612.0,8670,2006,11,18
1126.49,11577.0,8538,2006,11,19
1126.53,11377.0,8410,2006,11,20
1126.58,11219.0,7930,2006,11,21
1126.62,11653.0,6366,2006,11,22
1126.67,11558.0,7538,2006,11,23
1126.73,11569.0,6455,2006,11,24
1126.82,11190.0,6764,2006,11,25
1126.83,11088.0,7456,2006,11,26
1126.74,11392.0,12939,2006,11,27
1126.76,11249.0,10619,2006,11,28
