ELEVATION,INFLOW,OUTFLOW,year,month,d,p01i
449.7,1414.0,6504,2005,2,28,0.0
449.78,2030.0,6338,2005,3,1,0.0
449.67,2034.0,7746,2005,3,2,0.0
449.81,1995.0,6008,2005,3,3,0.0
449.63,2011.0,5421,2005,3,4,0.0
449.22,2081.0,7004,2005,3,5,0.15
448.77,2063.0,7025,2005,3,6,0.03
448.33,2018.0,7189,2005,3,7,0.0
447.75,1359.0,9027,2005,3,8,0.0
447.11,4786.0,9156,2005,3,9,0.0
446.94,4731.0,7998,2005,3,10,0.0
446.82,4768.0,9495,2005,3,11,0.0
446.76,4751.0,9987,2005,3,12,0.0
446.71,4765.0,10463,2005,3,13,0.0
446.58,5130.0,10978,2005,3,14,0.0
446.21,5154.0,12378,2005,3,15,0.0
446.15,5186.0,11801,2005,3,16,0.0
446.54,5301.0,8505,2005,3,17,0.0
446.64,5492.0,10521,2005,3,18,0.0
446.57,8751.0,12927,2005,3,19,0.0
446.31,10962.0,13496,2005,3,20,0.01
446.14,12146.0,13031,2005,3,21,0.0
446.38,11940.0,10995,2005,3,22,0.0
446.6,11811.0,10498,2005,3,23,0.03
446.89,11813.0,8010,2005,3,24,0.0
446.97,11775.0,12501,2005,3,25,0.0
446.78,11949.0,12515,2005,3,26,0.0
446.8,11877.0,12491,2005,3,27,0.0
446.9,11530.0,10512,2005,3,28,0.0
446.61,11666.0,12005,2005,3,29,0.0
446.25,13584.0,12486,2005,3,30,0.0
446.45,15003.0,10026,2005,3,31,0.0
446.48,18240.0,13096,2005,4,1,0.0
446.58,15674.0,13389,2005,4,2,
446.49,12701.0,13272,2005,4,3,
446.43,10309.0,11019,2005,4,4,
446.16,16358.0,11515,2005,4,5,
446.3,17070.0,11196,2005,4,6,
446.5,18292.0,11965,2005,4,7,0.0
446.46,18287.0,14365,2005,4,8,0.0
446.32,17860.0,15090,2005,4,9,0.0
446.33,18014.0,14001,2005,4,10,0.0
446.47,17959.0,12077,2005,4,11,0.0
446.68,17770.0,11792,2005,4,12,0.0
447.01,17572.0,11017,2005,4,13,0.0
447.41,16676.0,10025,2005,4,14,0.0
447.42,18480.0,12140,2005,4,15,0.0
447.41,15670.0,12730,2005,4,16,0.0
447.24,15512.0,12890,2005,4,17,0.0
447.16,16229.0,12007,2005,4,18,0.0
447.13,16172.0,11801,2005,4,19,0.0
447.23,16073.0,10453,2005,4,20,0.0
447.48,16123.0,9000,2005,4,21,0.0
447.75,17028.0,10010,2005,4,22,0.0
447.6,14880.0,11786,2005,4,23,0.0
447.39,14672.0,12801,2005,4,24,0.0
447.58,16677.0,9809,2005,4,25,0.0
447.66,16564.0,10201,2005,4,26,0.0
447.79,16644.0,9537,2005,4,27,0.0
448.11,15073.0,8469,2005,4,28,0.0
448.23,15730.0,9509,2005,4,29,0.0
448.3,14879.0,9778,2005,4,30,0.0
448.49,14885.0,9515,2005,5,1,0.0
448.51,15460.0,11003,2005,5,2,0.0
448.46,15492.0,12493,2005,5,3,0.0
448.38,15441.0,11956,2005,5,4,0.0
448.61,15222.0,8511,2005,5,5,0.0
448.44,15338.0,12686,2005,5,6,0.0
448.15,14994.0,13696,2005,5,7,0.0
447.82,14991.0,13695,2005,5,8,0.0
447.74,16330.0,11521,2005,5,9,0.0
447.91,16295.0,10994,2005,5,10,0.0
448.21,16324.0,9008,2005,5,11,0.0
448.65,15818.0,8507,2005,5,12,0.0
448.89,15325.0,9992,2005,5,13,0.0
448.89,14596.0,11004,2005,5,14,0.0
448.83,15184.0,11464,2005,5,15,0.0
448.79,14661.0,12772,2005,5,16,0.0
448.52,15155.0,12376,2005,5,17,0.0
448.44,15205.0,11482,2005,5,18,0.0
448.7,15286.0,8496,2005,5,19,0.0
448.83,16427.0,9989,2005,5,20,0.0
448.81,17396.0,12488,2005,5,21,0.0
448.8,16595.0,13041,2005,5,22,0.0
448.65,15670.0,12550,2005,5,23,0.0
448.53,15740.0,12530,2005,5,24,0.0
448.5,15542.0,11513,2005,5,25,0.0
448.51,15664.0,9807,2005,5,26,0.0
448.56,15746.0,10020,2005,5,27,0.0
448.38,14970.0,11820,2005,5,28,0.0
448.26,15001.0,11819,2005,5,29,0.0
448.17,16066.0,12004,2005,5,30,0.0
448.31,16127.0,10531,2005,5,31,0.0
448.49,15047.0,9989,2005,6,1,0.0
448.71,14844.0,8008,2005,6,2,0.0
448.78,14763.0,10294,2005,6,3,0.0
448.52,14744.0,12505,2005,6,4,0.0
448.33,15945.0,11986,2005,6,5,0.0
448.31,14993.0,11920,2005,6,6,0.0
448.28,14975.0,11722,2005,6,7,0.0
448.3,15151.0,11497,2005,6,8,0.0
448.62,15308.0,9005,2005,6,9,0.0
448.57,15602.0,11570,2005,6,10,0.0
448.57,16345.0,12123,2005,6,11,0.0
448.63,16306.0,11814,2005,6,12,0.0
448.56,14750.0,12792,2005,6,13,0.0
448.46,14747.0,12416,2005,6,14,0.0
448.52,14494.0,10995,2005,6,15,0.0
448.66,14390.0,8961,2005,6,16,0.0
448.59,14428.0,11283,2005,6,17,0.0
448.39,15270.0,12999,2005,6,18,0.0
448.32,15799.0,12318,2005,6,19,0.0
448.28,15611.0,12479,2005,6,20,0.0
448.28,14455.0,11504,2005,6,21,0.0
448.17,14651.0,12394,2005,6,22,0.0
448.36,15740.0,9601,2005,6,23,0.0
448.29,16552.0,11986,2005,6,24,0.0
448.2,14372.0,12801,2005,6,25,0.0
447.99,15691.0,12700,2005,6,26,0.0
447.99,16510.0,12685,2005,6,27,0.0
447.99,15647.0,12747,2005,6,28,0.0
447.98,14826.0,12405,2005,6,29,0.0
448.07,14734.0,9998,2005,6,30,0.0
448.08,14780.0,10789,2005,7,1,0.0
447.88,15676.0,12801,2005,7,2,0.0
447.77,15542.0,12992,2005,7,3,0.0
447.63,15928.0,13481,2005,7,4,0.0
447.58,16619.0,13006,2005,7,5,0.0
447.69,16672.0,12023,2005,7,6,0.0
448.18,16166.0,8025,2005,7,7,0.0
448.23,16115.0,12001,2005,7,8,0.0
448.07,14788.0,14086,2005,7,9,0.0
447.75,14873.0,14289,2005,7,10,0.0
447.5,15842.0,14000,2005,7,11,0.0
447.34,16463.0,13649,2005,7,12,0.0
447.32,16398.0,12819,2005,7,13,0.0
447.59,16103.0,10587,2005,7,14,0.0
447.53,16920.0,13030,2005,7,15,0.0
447.43,15605.0,14022,2005,7,16,0.0
447.35,16488.0,13229,2005,7,17,0.0
447.41,16646.0,12478,2005,7,18,0.0
447.53,17062.0,12557,2005,7,19,0.0
447.53,14548.0,12520,2005,7,20,0.0
447.72,16833.0,10197,2005,7,21,0.0
447.73,16706.0,12581,2005,7,22,0.0
447.72,16029.0,13006,2005,7,23,0.0
447.95,16051.0,11210,2005,7,24,0.0
448.15,14057.0,10583,2005,7,25,0.0
448.19,14149.0,10202,2005,7,26,0.0
448.3,14022.0,10016,2005,7,27,0.0
448.45,14056.0,9997,2005,7,28,0.0
448.36,14772.0,11517,2005,7,29,0.0
448.03,14025.0,14072,2005,7,30,0.0
447.81,14030.0,12995,2005,7,31,0.0
448.17,15775.0,8971,2005,8,1,0.0
448.41,15533.0,9518,2005,8,2,0.0
448.74,12998.0,9512,2005,8,3,0.0
449.02,11036.0,8004,2005,8,4,0.0
448.97,10148.0,9024,2005,8,5,0.0
448.6,9730.0,10960,2005,8,6,0.0
448.33,12234.0,10011,2005,8,7,0.2
448.51,10886.0,7870,2005,8,8,0.0
448.57,11256.0,8007,2005,8,9,0.03
448.75,10308.0,6989,2005,8,10,0.02
449.04,8841.0,4539,2005,8,11,0.0
449.16,8474.0,5475,2005,8,12,0.0
449.02,8839.0,8495,2005,8,13,0.0
448.82,10058.0,9483,2005,8,14,0.0
448.79,11908.0,7527,2005,8,15,0.41000000000000003
448.91,11974.0,8014,2005,8,16,0.0
448.84,11963.0,9523,2005,8,17,0.0
448.91,11916.0,8520,2005,8,18,0.0
448.86,11942.0,9986,2005,8,19,0.0
448.69,11956.0,10996,2005,8,20,0.0
448.45,11963.0,11517,2005,8,21,0.0
448.33,11848.0,10508,2005,8,22,0.0
448.32,11528.0,8505,2005,8,23,0.0
448.41,11578.0,8504,2005,8,24,0.0
448.44,11539.0,8509,2005,8,25,0.0
448.3,11567.0,10004,2005,8,26,0.0
448.1,11367.0,10511,2005,8,27,0.0
447.8,11856.0,10997,2005,8,28,0.0
447.66,12564.0,10204,2005,8,29,0.0
447.54,12719.0,10495,2005,8,30,0.0
447.45,11539.0,9994,2005,8,31,0.0
447.74,12142.0,7119,2005,9,1,0.0
447.64,12002.0,8999,2005,9,2,0.0
447.4,12390.0,10290,2005,9,3,0.0
447.31,12507.0,10594,2005,9,4,0.0
447.21,12500.0,10415,2005,9,5,0.0
447.18,12117.0,9521,2005,9,6,0.0
447.09,11952.0,9422,2005,9,7,0.0
447.18,12241.0,8079,2005,9,8,0.0
447.07,11912.0,9005,2005,9,9,0.0
446.88,11970.0,10519,2005,9,10,0.0
446.5,12839.0,11251,2005,9,11,0.0
446.24,12619.0,11281,2005,9,12,0.0
446.15,11943.0,9977,2005,9,13,0.0
446.08,13518.0,9511,2005,9,14,0.0
446.39,13676.0,6785,2005,9,15,0.0
446.55,13131.0,8496,2005,9,16,0.0
446.56,13828.0,9027,2005,9,17,0.0
446.69,13523.0,9468,2005,9,18,0.0
446.82,13791.0,8925,2005,9,19,0.0
446.96,13417.0,8307,2005,9,20,0.0
447.13,13393.0,8484,2005,9,21,0.0
447.26,11896.0,7502,2005,9,22,0.0
447.17,12862.0,8789,2005,9,23,0.0
446.89,12058.0,10979,2005,9,24,0.0
446.73,12542.0,9929,2005,9,25,0.0
446.54,12648.0,10182,2005,9,26,0.0
446.36,12725.0,9973,2005,9,27,0.0
446.29,12744.0,9466,2005,9,28,0.0
446.54,13751.0,6494,2005,9,29,0.0
446.63,13752.0,8503,2005,9,30,0.0
446.73,13769.0,8993,2005,10,1,0.0
446.87,11795.0,8492,2005,10,2,0.0
446.91,11742.0,8501,2005,10,3,0.0
446.91,11726.0,9020,2005,10,4,0.0
446.91,11745.0,8019,2005,10,5,0.0
446.82,11783.0,7480,2005,10,6,0.0
446.76,11812.0,8493,2005,10,7,0.0
446.55,11706.0,9688,2005,10,8,0.0
446.51,12431.0,9592,2005,10,9,0.0
446.28,13599.0,9994,2005,10,10,0.0
446.36,12703.0,9494,2005,10,11,0.0
446.28,12577.0,9601,2005,10,12,0.0
446.66,12558.0,5584,2005,10,13,0.0
446.92,13227.0,6795,2005,10,14,0.0
446.86,12647.0,9388,2005,10,15,0.0
446.91,12308.0,7990,2005,10,16,0.0
447.57,11869.0,3870,2005,10,17,0.0
448.14,10327.0,2997,2005,10,18,0.0
448.41,8483.0,4012,2005,10,19,0.01
448.5,10176.0,3789,2005,10,20,0.0
448.79,10410.0,3390,2005,10,21,0.0
448.65,10740.0,7279,2005,10,22,0.0
448.51,11051.0,7293,2005,10,23,0.0
448.61,9070.0,5705,2005,10,24,0.0
448.55,8851.0,5099,2005,10,25,0.0
448.42,8877.0,5275,2005,10,26,0.0
448.39,8893.0,3969,2005,10,27,0.0
448.19,9681.0,6974,2005,10,28,0.0
447.92,9250.0,7586,2005,10,29,0.0
447.63,10348.0,7798,2005,10,30,0.0
447.46,11051.0,7492,2005,10,31,0.0
447.4,10945.0,7587,2005,11,1,0.0
447.33,10971.0,6994,2005,11,2,0.0
447.5,11933.0,5015,2005,11,3,0.0
447.65,12504.0,6009,2005,11,4,0.0
447.8,12005.0,7011,2005,11,5,0.0
447.79,11813.0,7600,2005,11,6,0.0
447.79,11931.0,7298,2005,11,7,0.0
447.81,11018.0,7204,2005,11,8,0.0
447.88,11126.0,6338,2005,11,9,0.0
448.02,11027.0,4978,2005,11,10,0.0
447.93,10417.0,6201,2005,11,11,0.03
447.89,9650.0,6788,2005,11,12,0.0
447.72,9677.0,6834,2005,11,13,0.0
447.6,9968.0,6588,2005,11,14,0.0
447.52,10163.0,6704,2005,11,15,0.0
447.36,11029.0,7911,2005,11,16,0.0
447.48,11034.0,5012,2005,11,17,0.0
447.48,11001.0,6506,2005,11,18,0.0
447.36,10030.0,6995,2005,11,19,0.0
447.19,10044.0,7592,2005,11,20,0.0
447.25,10033.0,5627,2005,11,21,0.0
447.35,10062.0,4594,2005,11,22,0.0
447.53,10019.0,4584,2005,11,23,0.0
447.62,10027.0,4790,2005,11,24,0.0
447.72,10035.0,6194,2005,11,25,0.0
447.93,9871.0,6675,2005,11,26,0.0
447.91,9305.0,6691,2005,11,27,0.0
447.86,9949.0,6710,2005,11,28,0.0
447.94,9556.0,6296,2005,11,29,0.0
448.12,9565.0,5571,2005,11,30,0.0
448.37,8057.0,4014,2005,12,1,0.0
448.44,8005.0,4522,2005,12,2,0.0
448.31,7072.0,7016,2005,12,3,0.0
447.98,7060.0,7020,2005,12,4,0.0
447.72,7082.0,6004,2005,12,5,0.0
447.61,7089.0,5800,2005,12,6,0.0
447.57,7063.0,5794,2005,12,7,0.0
447.4,6659.0,5594,2005,12,8,0.0
447.14,7657.0,6651,2005,12,9,0.0
446.92,7553.0,7317,2005,12,10,0.0
446.64,7593.0,7510,2005,12,11,0.0
446.52,8313.0,7526,2005,12,12,0.0
446.53,7983.0,6511,2005,12,13,0.0
446.77,6475.0,4473,2005,12,14,0.0
446.8,7659.0,4018,2005,12,15,0.0
447.0,7608.0,3998,2005,12,16,0.0
447.14,6574.0,4491,2005,12,17,0.0
447.01,6596.0,6009,2005,12,18,0.0
446.86,6574.0,5973,2005,12,19,0.0
446.98,6571.0,4444,2005,12,20,0.0
447.32,6138.0,2988,2005,12,21,0.0
447.57,5113.0,2474,2005,12,22,0.0
447.65,5790.0,3012,2005,12,23,0.0
447.6,5768.0,4995,2005,12,24,0.0
447.32,5740.0,5996,2005,12,25,0.0
447.23,5771.0,5512,2005,12,26,0.0
447.14,6103.0,5010,2005,12,27,0.0
447.35,6126.0,3003,2005,12,28,0.0
447.66,5807.0,2497,2005,12,29,0.0
447.91,5766.0,2460,2005,12,30,0.0
447.97,5729.0,4485,2005,12,31,0.0
447.97,5785.0,4000,2006,1,1,0.0
447.96,5818.0,3101,2006,1,2,0.0
448.13,6646.0,3015,2006,1,3,0.0
448.2,7020.0,4309,2006,1,4,0.0
448.2,7003.0,3981,2006,1,5,0.0
448.24,6998.0,3482,2006,1,6,0.0
448.21,7744.0,4012,2006,1,7,0.0
448.12,7744.0,5507,2006,1,8,0.0
448.01,8485.0,5001,2006,1,9,0.0
448.0,8417.0,5008,2006,1,10,0.0
447.92,8410.0,6006,2006,1,11,0.0
447.8,8434.0,6007,2006,1,12,0.0
447.73,8421.0,5800,2006,1,13,0.0
447.63,7938.0,5728,2006,1,14,0.0
447.65,7868.0,5010,2006,1,15,0.0
447.39,7814.0,6650,2006,1,16,0.0
447.02,8574.0,7512,2006,1,17,0.0
446.77,9326.0,7715,2006,1,18,0.0
446.83,9529.0,6008,2006,1,19,0.0
446.66,9474.0,7797,2006,1,20,0.0
446.47,9510.0,7401,2006,1,21,0.0
446.39,9519.0,7192,2006,1,22,0.0
446.27,12299.0,8012,2006,1,23,0.0
446.2,12297.0,8497,2006,1,24,0.0
446.23,12222.0,9057,2006,1,25,0.0
446.46,12254.0,6926,2006,1,26,0.0
446.81,12310.0,6010,2006,1,27,0.0
446.96,10791.0,7506,2006,1,28,0.0
446.9,11801.0,7997,2006,1,29,0.0
446.96,11888.0,7990,2006,1,30,0.0
447.04,11798.0,7993,2006,1,31,0.0
447.3,9851.0,6562,2006,2,1,0.0
447.49,10057.0,5009,2006,2,2,0.0
447.59,10055.0,6490,2006,2,3,0.0
447.76,10114.0,6011,2006,2,4,0.0
447.73,9451.0,6995,2006,2,5,0.0
447.65,10021.0,8038,2006,2,6,0.0
447.2,10126.0,10406,2006,2,7,0.0
447.09,10314.0,8526,2006,2,8,0.0
447.33,10236.0,4998,2006,2,9,0.0
447.34,10311.0,7979,2006,2,10,0.0
447.27,9867.0,8000,2006,2,11,0.0
447.24,9866.0,6829,2006,2,12,0.0
447.19,10036.0,7255,2006,2,13,0.0
447.03,10119.0,8012,2006,2,14,0.0
447.04,10020.0,8000,2006,2,15,0.0
446.95,10055.0,7827,2006,2,16,0.0
446.76,10060.0,8009,2006,2,17,0.0
446.53,10066.0,9003,2006,2,18,0.0
446.35,10061.0,9010,2006,2,19,0.0
446.26,11759.0,8998,2006,2,20,0.0
446.22,11813.0,9008,2006,2,21,0.0
446.15,11366.0,8991,2006,2,22,0.0
446.25,13063.0,7523,2006,2,23,0.0
446.31,12580.0,10008,2006,2,24,0.0
446.16,10048.0,10500,2006,2,25,0.0
445.85,11857.0,10008,2006,2,26,0.0
445.88,14628.0,8497,2006,2,27,0.0
446.22,14287.0,8514,2006,2,28,0.0
446.5,13185.0,8515,2006,3,1,0.0
446.64,13223.0,8488,2006,3,2,0.0
446.56,12567.0,9497,2006,3,3,0.0
446.58,13077.0,9486,2006,3,4,0.0
446.65,13081.0,8977,2006,3,5,0.0
446.7,13142.0,8975,2006,3,6,0.0
446.72,13176.0,9986,2006,3,7,0.0
446.74,13138.0,9982,2006,3,8,0.0
446.77,13117.0,8993,2006,3,9,0.0
447.16,12912.0,5985,2006,3,10,0.0
447.17,11419.0,9507,2006,3,11,0.0
446.93,11379.0,10452,2006,3,12,0.12
447.02,12643.0,7988,2006,3,13,0.0
447.07,12650.0,9489,2006,3,14,0.0
447.47,12244.0,7520,2006,3,15,0.0
448.13,10739.0,5803,2006,3,16,0.0
448.2,9730.0,8992,2006,3,17,0.0
448.13,10864.0,10788,2006,3,18,0.0
448.12,10852.0,10601,2006,3,19,0.0
448.08,11936.0,10802,2006,3,20,0.0
448.2,11853.0,10812,2006,3,21,0.04
448.29,10727.0,10904,2006,3,22,0.0
448.28,10850.0,10009,2006,3,23,0.0
448.26,12069.0,12491,2006,3,24,0.0
447.75,11971.0,13801,2006,3,25,0.0
447.48,11836.0,14008,2006,3,26,0.0
447.03,13243.0,13024,2006,3,27,0.0
447.19,11053.0,10000,2006,3,28,0.0
447.02,11527.0,11491,2006,3,29,0.0
447.02,17543.0,11298,2006,3,30,0.0
447.15,17565.0,11487,2006,3,31,0.0
447.15,12597.0,12788,2006,4,1,0.0
446.85,12478.0,12481,2006,4,2,0.0
446.36,17091.0,13982,2006,4,3,0.0
446.35,17107.0,13440,2006,4,4,0.0
446.61,17102.0,9988,2006,4,5,0.02
447.12,17149.0,8998,2006,4,6,
447.27,17108.0,11567,2006,4,7,0.0
447.35,14609.0,11968,2006,4,8,0.0
447.02,15048.0,13518,2006,4,9,0.0
447.04,16534.0,12473,2006,4,10,0.0
447.29,16517.0,11429,2006,4,11,0.0
447.23,16522.0,12946,2006,4,12,0.0
447.43,16904.0,11000,2006,4,13,0.0
447.67,16898.0,13512,2006,4,14,0.0
447.37,13719.0,12981,2006,4,15,0.0
446.84,12421.0,13525,2006,4,16,0.0
446.32,14919.0,14004,2006,4,17,0.0
446.24,16923.0,12976,2006,4,18,0.0
446.43,18112.0,11990,2006,4,19,0.0
446.48,18115.0,12592,2006,4,20,0.0
446.55,18125.0,12897,2006,4,21,0.0
446.55,18094.0,13719,2006,4,22,0.0
446.58,18298.0,13788,2006,4,23,0.0
446.87,17462.0,11981,2006,4,24,0.0
446.98,17325.0,11334,2006,4,25,0.0
447.32,15863.0,9981,2006,4,26,0.0
447.55,14081.0,8990,2006,4,27,0.0
447.49,13989.0,9794,2006,4,28,0.0
447.26,14048.0,11963,2006,4,29,0.0
446.83,15389.0,12970,2006,4,30,0.0
446.81,16409.0,12462,2006,5,1,0.0
446.83,16400.0,11992,2006,5,2,0.0
446.93,16414.0,10492,2006,5,3,0.0
447.1,16434.0,10780,2006,5,4,0.0
447.02,16355.0,12085,2006,5,5,0.0
446.86,16904.0,13532,2006,5,6,0.0
446.9,17609.0,12993,2006,5,7,0.0
446.89,17924.0,12968,2006,5,8,0.0
447.27,17908.0,11484,2006,5,9,0.0
447.38,16615.0,11995,2006,5,10,0.0
447.5,17052.0,11336,2006,5,11,0.0
447.65,17069.0,12996,2006,5,12,0.0
447.66,16277.0,12002,2006,5,13,0.0
447.63,16075.0,12004,2006,5,14,0.0
447.58,17542.0,12484,2006,5,15,0.0
447.73,17524.0,12001,2006,5,16,0.0
447.74,16415.0,12987,2006,5,17,0.0
447.74,16417.0,12300,2006,5,18,0.0
447.46,17196.0,13496,2006,5,19,0.0
447.35,14441.0,13490,2006,5,20,0.0
446.97,16316.0,13802,2006,5,21,0.0
446.73,18165.0,13480,2006,5,22,0.0
447.05,16764.0,11983,2006,5,23,0.0
447.56,15383.0,10209,2006,5,24,0.0
447.39,15250.0,7810,2006,5,25,0.0
447.51,19047.0,11478,2006,5,26,0.0
447.52,18517.0,12461,2006,5,27,0.0
447.56,16762.0,12747,2006,5,28,0.0
447.86,16335.0,12815,2006,5,29,0.0
447.23,16922.0,12675,2006,5,30,0.0
447.06,16934.0,12494,2006,5,31,0.0
447.31,15150.0,9994,2006,6,1,0.0
447.18,15062.0,11024,2006,6,2,0.0
447.07,17330.0,12522,2006,6,3,0.0
446.98,17553.0,12506,2006,6,4,0.0
446.82,17964.0,13473,2006,6,5,0.0
446.7,17978.0,13772,2006,6,6,0.0
446.68,17001.0,13956,2006,6,7,0.42000000000000004
446.75,17058.0,10732,2006,6,8,0.0
446.71,16177.0,10975,2006,6,9,0.0
446.57,15569.0,11996,2006,6,10,0.0
446.32,15584.0,12998,2006,6,11,0.0
446.14,16619.0,12787,2006,6,12,0.0
446.02,18207.0,13007,2006,6,13,0.0
446.07,18303.0,13003,2006,6,14,0.0
446.35,18337.0,10966,2006,6,15,0.0
446.57,17226.0,10997,2006,6,16,0.0
446.55,16922.0,11523,2006,6,17,0.0
446.62,15726.0,11505,2006,6,18,0.0
446.62,18040.0,11513,2006,6,19,0.0
446.66,18506.0,12489,2006,6,20,0.0
446.72,18552.0,13374,2006,6,21,0.0
446.73,18543.0,11995,2006,6,22,0.0
446.73,18621.0,13798,2006,6,23,0.0
446.67,18724.0,13994,2006,6,24,0.0
446.69,18828.0,13599,2006,6,25,0.0
446.82,18979.0,13659,2006,6,26,0.0
446.92,15015.0,11009,2006,6,27,0.0
446.99,20841.0,12469,2006,6,28,0.0
447.52,20777.0,10165,2006,6,29,0.0
447.78,17211.0,12254,2006,6,30,0.0
447.89,18032.0,11894,2006,7,1,0.0
447.96,16457.0,11518,2006,7,2,0.2
447.98,14574.0,11812,2006,7,3,0.0
447.82,14607.0,12479,2006,7,4,0.0
447.66,13606.0,12001,2006,7,5,0.0
447.68,13498.0,10482,2006,7,6,0.0
447.76,13041.0,10769,2006,7,7,0.0
447.54,11627.0,12497,2006,7,8,0.0
447.11,13727.0,13528,2006,7,9,0.0
446.92,14994.0,13481,2006,7,10,0.0
446.68,15498.0,14505,2006,7,11,0.0
446.72,17360.0,12982,2006,7,12,0.0
446.8,17404.0,13458,2006,7,13,0.0
446.78,17507.0,13455,2006,7,14,0.0
446.66,15251.0,13997,2006,7,15,0.0
446.64,15988.0,13325,2006,7,16,0.0
446.8,17290.0,12021,2006,7,17,0.0
447.1,16888.0,11491,2006,7,18,0.02
447.42,16387.0,10512,2006,7,19,0.0
447.66,15568.0,10991,2006,7,20,0.0
447.8,15520.0,11520,2006,7,21,0.0
447.75,13935.0,13019,2006,7,22,0.0
447.59,15229.0,12969,2006,7,23,0.0
447.65,16074.0,12480,2006,7,24,0.0
447.55,15009.0,12984,2006,7,25,0.0
447.78,15191.0,11490,2006,7,26,0.0
447.99,15095.0,9975,2006,7,27,0.0
448.34,13740.0,9790,2006,7,28,0.0
448.44,12629.0,9963,2006,7,29,0.0
448.41,12560.0,10521,2006,7,30,0.0
448.22,16019.0,12076,2006,7,31,0.0
448.07,13373.0,13197,2006,8,1,0.0
447.75,13342.0,13491,2006,8,2,0.0
447.93,11281.0,9001,2006,8,3,0.0
447.7,12446.0,11083,2006,8,4,0.0
447.62,11861.0,10681,2006,8,5,0.0
447.5,11902.0,10490,2006,8,6,0.0
447.34,13927.0,11787,2006,8,7,0.0
447.16,13930.0,11989,2006,8,8,0.0
447.2,13931.0,11957,2006,8,9,0.0
447.24,13919.0,9701,2006,8,10,0.0
447.19,14110.0,10449,2006,8,11,0.0
447.39,14147.0,10500,2006,8,12,0.0
447.6,14114.0,9498,2006,8,13,0.0
447.81,12939.0,8991,2006,8,14,0.0
447.76,11967.0,10514,2006,8,15,0.0
447.98,10983.0,7962,2006,8,16,0.0
447.93,11972.0,8504,2006,8,17,0.0
448.06,11960.0,8500,2006,8,18,0.0
447.97,10565.0,10035,2006,8,19,0.0
447.76,10559.0,10994,2006,8,20,0.0
447.33,12147.0,10997,2006,8,21,0.0
447.22,13294.0,11965,2006,8,22,0.0
447.06,13242.0,11964,2006,8,23,0.0
447.09,14203.0,9498,2006,8,24,0.0
447.39,14246.0,9502,2006,8,25,0.0
447.38,12232.0,10992,2006,8,26,0.0
447.21,12058.0,10981,2006,8,27,0.0
447.1,14471.0,11148,2006,8,28,0.0
447.37,14028.0,9013,2006,8,29,0.0
